lambda,kappa,Asset,Weight
4.0,0.1,PALL,3.674593751685566e-10
4.0,0.1,PFE,5.275661686082918e-09
4.0,0.1,PG,3.121977984712344e-08
4.0,0.1,QQQ,4.320057149826917e-08
4.0,0.1,SLV,3.1078673945059403e-08
4.0,0.1,SPY,1.8191989235701163e-08
4.0,0.1,TLT,-3.664701876170178e-09
4.0,0.1,TSLA,0.10530285666750833
4.0,0.1,UNG,3.0751726099544878e-09
4.0,0.1,USO,3.555572424944129e-08
4.0,0.1,V,1.478918609664549e-08
4.0,0.1,VNQ,1.4039249925588784e-09
4.0,0.1,WEAT,9.597376914132643e-09
4.0,0.1,WMT,0.28853947614412473
4.0,0.1,XOM,0.11610517380160212
4.0,0.4,AAPL,0.0647794486431532
4.0,0.4,AGG,-6.429615482614771e-10
4.0,0.4,AMZN,0.021028033688885308
4.0,0.4,BAC,5.317004833220754e-09
4.0,0.4,BND,-6.526259721476603e-10
4.0,0.4,BNDX,-8.083102466278295e-10
4.0,0.4,CORN,0.0270073349608101
4.0,0.4,CSCO,0.005468020880324565
4.0,0.4,DBA,0.16309785509572264
4.0,0.4,DBC,0.03620843561205428
4.0,0.4,DIA,0.0013273110202334727
4.0,0.4,DIS,1.2400708346791823e-10
4.0,0.4,EEM,3.437966264018897e-10
4.0,0.4,EFA,7.991487386266568e-10
4.0,0.4,EMB,-1.354957866987593e-10
4.0,0.4,GLD,0.10456631462269945
4.0,0.4,GOOGL,0.058612444928813415
4.0,0.4,HD,0.026202778563126063
4.0,0.4,HYG,6.151448237303303e-10
4.0,0.4,IEF,-4.914993053439694e-10
4.0,0.4,IWM,2.105218302951452e-09
4.0,0.4,JNJ,1.1753451108596987e-09
4.0,0.4,JPM,0.037504893186824775
4.0,0.4,KO,2.052560230650414e-09
4.0,0.4,LQD,-1.9194385369709553e-10
4.0,0.4,MA,0.005810178293780009
4.0,0.4,META,0.03500454027928214
4.0,0.4,MSFT,0.07872911289047774
4.0,0.4,MUB,-2.0697487704889165e-10
4.0,0.4,PALL,-1.9555673821080965e-11
4.0,0.4,PFE,6.914773294933503e-10
4.0,0.4,PG,0.02820988599357808
4.0,0.4,QQQ,0.05473461683814015
4.0,0.4,SLV,0.006149652842180224
4.0,0.4,SPY,0.03154487760363724
4.0,0.4,TLT,-2.457893647940611e-10
4.0,0.4,TSLA,0.0313969307719676
4.0,0.4,UNG,3.169263025809073e-10
4.0,0.4,USO,0.0018959138427806076
4.0,0.4,V,0.0054305056834728594
4.0,0.4,VNQ,3.301128928766201e-10
4.0,0.4,WEAT,1.2127792681327918e-09
4.0,0.4,WMT,0.13251782239330323
4.0,0.4,XOM,0.04277307885700241
4.0,0.7,AAPL,0.04212576026744111
4.0,0.7,AGG,2.6326230436731084e-07
4.0,0.7,AMZN,0.02105386567378837
